State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Rate_100000,Rate_Level,Area_Name,POP_ESTIMATE
IN,Elkhart,20,4.1,4.2,20,34,8.0,28,73,17,14,52,37,137,3859,51,91,49,2.6,31,12.6,357,13.1,0,14,78,21,13,7,59251,320.5,2,Elkhart,206341
IN,Fayette,22,4.6,4.8,23,37,7.2,27,70,15,10,56,39,74,4694,45,92,51,4.6,43,15.1,0,11.2,0,13,86,37,12,8,47737,377.325,3,Fayette,23102
IN,Floyd,17,3.9,4.5,22,35,7.9,28,82,18,7,69,68,144,5480,50,94,69,3.3,35,11.2,132,12.0,0,11,86,32,14,8,64992,322.6615385,2,Floyd,78522
IN,Fountain,18,4.0,4.6,21,32,7.9,34,52,17,9,18,31,67,4724,41,93,54,3.6,24,13.3,0,11.1,0,11,81,41,14,6,53493,375.3166667,3,Fountain,16346
IN,Franklin,16,3.9,4.4,19,37,8.3,31,53,17,9,84,62,31,4571,50,96,57,3.7,25,7.5,36,11.4,0,9,89,47,11,5,62251,338.42857139999995,2,Franklin,22758
IN,Fulton,18,3.9,4.5,20,38,8.1,30,45,16,11,50,50,90,4573,49,93,59,3.4,26,17.4,49,12.0,0,10,82,34,9,6,52798,387.6714286,3,Fulton,19974
IN,Gibson,17,3.9,4.3,19,29,8.5,27,70,17,7,33,54,24,5165,53,92,61,2.7,29,14.9,115,12.2,0,9,88,30,11,1,56960,346.6333333,2,Gibson,33659
IN,Grant,23,4.5,5.0,22,37,7.2,33,64,15,9,45,58,235,5897,48,96,54,3.9,44,16.5,234,12.0,1,12,79,19,16,8,45138,412.47,4,Grant,65769
IN,Greene,18,4.2,4.7,21,38,7.9,38,52,17,9,25,44,66,5725,41,94,53,4.4,26,14.3,39,10.9,0,12,88,46,12,6,46835,382.8,3,Greene,31922
IN,Hamilton,11,3.0,3.5,13,26,8.8,17,91,20,6,143,74,145,3121,56,77,87,2.7,18,9.6,33,11.6,1,9,83,41,8,4,101740,235.2066667,1,Hamilton,338011
IN,Hancock,15,3.8,4.1,17,38,8.3,25,47,18,6,84,39,68,3607,57,92,69,3.0,24,10.4,118,11.9,0,9,89,44,13,7,73831,260.5,1,Hancock,78168
IN,Harrison,17,4.0,4.4,20,38,8.5,27,41,17,8,45,42,25,5431,52,97,54,3.5,25,8.0,82,12.3,0,10,87,57,12,2,60379,301.7785714,2,Harrison,40515
IN,Hendricks,15,3.5,4.0,16,32,8.7,23,70,19,7,50,49,98,3636,55,96,75,2.9,22,8.6,176,12.2,1,9,87,43,11,4,80834,263.0692308,1,Hendricks,170311
IN,Henry,21,4.3,4.6,21,30,8.1,26,63,16,8,39,37,83,5367,41,94,53,3.5,33,14.2,16,11.0,0,12,85,38,16,1,50183,323.4555556,2,Henry,47972
IN,Howard,18,4.0,4.6,21,35,7.3,31,69,14,8,63,86,187,4767,47,75,60,4.1,38,16.4,431,11.6,1,12,84,19,16,8,55365,422.87,4,Howard,82544
IN,Huntington,17,3.9,4.4,19,37,7.8,29,76,18,8,58,41,80,5339,51,92,56,3.6,25,18.2,33,12.3,0,10,86,29,14,9,53809,324.21666669999996,2,Huntington,36520
IN,Jackson,21,4.2,4.7,22,31,8.0,29,70,16,10,57,54,82,2803,50,92,52,2.8,34,14.8,223,11.3,0,13,83,27,14,6,55518,368.0375,3,Jackson,44231
IN,Jasper,17,3.8,4.5,19,36,8.5,28,58,17,10,24,33,45,5125,45,93,54,3.9,28,14.4,0,12.0,0,9,85,46,12,2,66720,397.64545449999997,3,Jasper,33562
IN,Jay,20,4.5,5.0,22,35,7.5,29,39,16,10,43,24,96,6368,52,96,47,3.3,37,15.8,100,12.1,0,12,79,22,19,9,48392,394.8,3,Jay,20436
IN,Jefferson,18,4.1,4.7,23,35,7.7,25,66,18,9,56,65,99,5926,50,82,51,3.4,36,11.5,0,11.3,0,14,83,32,11,7,51031,443.0,4,Jefferson,32308
IN,Jennings,21,4.6,4.8,22,40,7.3,34,44,17,9,40,22,91,3636,47,91,49,3.6,32,8.0,261,11.3,1,12,83,33,17,12,51560,419.1166667,4,Jennings,27735
IN,Johnson,16,3.6,4.4,18,31,8.0,24,80,19,8,79,63,87,4480,54,93,70,2.9,29,8.8,284,12.1,0,12,86,42,10,8,69880,295.3357143,2,Johnson,158167
IN,Knox,19,4.3,4.7,20,34,7.5,34,67,17,8,83,46,163,5896,48,97,59,3.3,36,17.6,109,12.2,0,11,87,22,18,7,48606,382.46666669999996,3,Knox,36594
IN,Kosciusko,17,3.8,4.2,19,34,8.3,26,65,18,12,37,33,165,5017,49,93,56,2.6,29,16.8,159,12.8,1,11,80,20,13,6,57367,342.7666667,2,Kosciusko,79456
IN,LaGrange,17,4.0,4.6,19,37,9.0,25,24,18,25,25,25,43,4213,47,93,30,2.5,15,8.7,103,12.7,0,14,56,31,10,0,67498,358.0666667,3,LaGrange,39614
IN,Lake,21,4.6,4.5,19,36,7.1,27,92,17,10,54,63,177,7059,40,87,61,4.9,42,9.8,395,14.3,0,15,83,40,13,10,55280,299.25625,2,Lake,485493
IN,LaPorte,18,4.2,4.5,23,37,7.0,30,75,19,9,35,52,88,4989,50,89,52,4.4,42,12.3,302,12.4,0,14,84,31,13,12,52095,381.4833333,3,LaPorte,109888
IN,Lawrence,18,4.1,4.5,19,32,8.1,31,79,17,9,39,46,66,3772,46,84,57,3.8,32,16.0,315,11.1,1,11,86,32,16,4,53187,408.55,3,Lawrence,45370
IN,Madison,21,4.7,5.0,22,39,7.1,33,71,16,9,49,57,129,5325,52,85,56,3.9,39,13.8,211,11.4,0,13,83,40,17,10,49522,341.15,2,Madison,129569
IN,Marion,19,3.9,4.2,19,33,6.7,26,89,18,12,80,89,286,5110,49,76,62,3.5,47,11.6,1251,12.8,0,18,83,29,12,9,48409,287.5933333,2,Marion,964582
IN,Marshall,18,4.1,4.6,21,41,8.4,32,54,17,13,43,43,102,3920,50,90,51,3.2,23,15.1,0,12.7,1,13,79,29,12,5,55766,302.2333333,2,Marshall,46258
IN,Martin,18,4.2,4.5,20,43,8.5,40,76,17,9,20,20,20,3696,26,96,60,2.7,29,15.7,0,11.4,0,9,80,46,9,1,55444,372.8166667,3,Martin,10255
IN,Miami,21,4.3,4.7,24,37,7.3,33,55,17,10,20,25,56,4768,41,95,47,4.0,37,13.4,147,12.1,0,11,87,29,10,9,47624,456.09,4,Miami,35516
IN,Monroe,17,4.2,4.8,20,25,7.2,23,87,19,9,59,52,251,2505,50,91,78,3.6,31,9.5,307,10.4,1,21,72,18,7,4,48883,254.4,1,Monroe,148431
IN,Montgomery,17,3.9,4.2,20,25,8.1,30,64,18,10,39,47,104,4555,55,97,57,3.0,29,10.4,837,11.3,0,10,83,28,15,7,53700,360.3111111,3,Montgomery,38338
IN,Morgan,18,4.1,4.4,19,36,8.2,28,54,17,8,46,44,60,3762,52,92,56,3.4,29,9.9,0,11.8,0,11,85,51,11,4,66151,301.75714289999996,2,Morgan,70489
IN,Newton,20,4.3,4.6,21,31,8.0,35,46,16,12,7,14,7,5274,43,88,50,4.3,36,7.1,22,11.7,0,9,82,51,17,5,53060,340.4454545,2,Newton,13984
IN,Noble,17,3.8,4.1,19,38,8.8,29,64,17,10,27,27,93,5699,48,91,52,2.9,27,11.0,158,12.8,0,11,84,32,11,2,61341,302.4166667,2,Noble,47744
IN,Orange,20,4.3,4.6,21,36,7.8,27,83,17,10,57,36,51,3112,37,92,44,3.9,37,13.9,0,11.4,0,12,82,31,13,5,44968,385.4166667,3,Orange,19646
IN,Owen,19,4.5,4.5,20,32,8.3,26,50,17,11,10,14,91,3000,47,92,48,4.4,32,7.7,0,10.8,0,11,82,47,15,0,49731,381.95,3,Owen,20799
IN,Parke,19,4.3,4.8,22,30,7.8,34,34,16,12,24,18,53,6225,42,85,45,4.0,31,14.8,64,11.1,0,12,82,43,8,6,49639,407.3222222,3,Parke,16937
IN,Perry,19,4.0,4.6,21,36,7.5,27,76,16,8,52,31,73,2971,35,90,52,3.7,35,9.4,0,12.1,0,9,84,31,10,9,52332,361.6166667,3,Perry,19169
IN,Pike,19,4.1,4.5,20,38,8.5,32,76,17,9,8,8,40,4167,30,93,53,3.5,22,17.0,58,12.3,0,6,86,41,19,2,54265,367.1166667,3,Pike,12389
IN,Porter,16,4.0,4.6,19,34,8.1,25,80,19,7,62,54,171,5243,46,91,69,3.8,28,9.0,97,12.7,0,13,86,41,11,8,69298,306.5666667,2,Porter,170389
IN,Posey,16,3.7,4.4,19,31,8.3,31,30,18,6,35,27,12,5633,60,93,69,2.8,21,10.5,305,12.1,0,10,90,34,13,6,68162,365.9777778,3,Posey,25427
IN,Pulaski,18,4.1,4.5,19,31,8.4,28,36,17,10,40,24,56,5024,32,92,51,3.1,30,21.5,0,11.7,0,13,80,31,9,1,49730,437.0,4,Pulaski,12353
IN,Putnam,16,3.9,4.2,19,31,8.4,29,59,18,8,34,45,77,4614,45,91,49,3.8,30,12.2,0,11.2,0,11,80,36,12,2,54718,377.1833333,3,Putnam,37576
IN,Randolph,19,4.3,4.7,21,36,7.6,26,49,15,10,20,28,36,4315,39,91,55,3.9,38,16.1,0,11.8,1,10,82,33,14,7,46441,383.775,3,Randolph,24665
IN,Ripley,18,4.0,4.8,18,32,8.6,34,52,18,9,4,11,53,5236,48,94,62,3.6,28,15.5,30,11.4,0,12,85,38,13,1,57436,398.4833333,3,Ripley,28324
IN,Rush,19,4.2,4.7,21,30,8.1,23,44,16,10,36,42,96,6982,53,98,45,2.9,27,17.4,0,11.3,1,10,87,44,12,1,53271,336.35,2,Rush,16581
IN,St. Joseph,19,4.0,4.6,19,33,7.2,26,84,20,10,91,58,229,3950,51,85,65,3.6,36,11.3,426,12.8,1,13,82,22,10,10,54674,298.3153846,2,St. Joseph,271826
