State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Household_Income_(AIAN),Household_Income_(Asian),Household_Income_(Black),Household_Income_(Hispanic),Household_Income_(White),Population,Population_Black,Population_AIAN,Population_Asian,Population_NHPI,Population_Hispanic,Population_NHW,%_Insufficient_Sleep,Average_Traffic_Volume_per_Meter_of_Major_Roadways,%_Homeowners,%_Severe_Housing_Cost_Burden,%_Children_in_Poverty,Teen_Birth_Rate
Indiana,Pulaski,18,4.1,4.5,19,31,8.4,28,36,17,10,40,24,56,5024,32,92,51,3.1,30,21.5,0,11.7,0,13,80,31,9,1,49730,,,,55833,49443,12469,113,62,31,3,400,11729,34,70,77,,,
Indiana,Putnam,16,3.9,4.2,19,31,8.4,29,59,18,8,34,45,77,4614,45,91,49,3.8,30,12.2,0,11.2,0,11,80,36,12,2,54718,,83750,83688,,55853,37779,1398,135,394,18,789,34604,31,76,72,,,
Indiana,Randolph,19,4.3,4.7,21,36,7.6,26,49,15,10,20,28,36,4315,39,91,55,3.9,38,16.1,0,11.8,1,10,82,33,14,7,46441,,,29208,33958,46284,24851,173,112,93,17,878,23319,36,75,77,,,
Indiana,Ripley,18,4,4.8,18,32,8.6,34,52,18,9,4,11,53,5236,48,94,62,3.6,28,15.5,30,11.4,0,12,85,38,13,1,57436,31750,84583,35469,,56711,28523,130,100,279,7,531,27219,35,74,77,,,
Indiana,Rush,19,4.2,4.7,21,30,8.1,23,44,16,10,36,42,96,6982,53,98,45,2.9,27,17.4,0,11.3,1,10,87,44,12,1,53271,,,,,,16663,162,59,64,6,290,15910,34,80,71,,,
Indiana,St. Joseph,19,4,4.6,19,33,7.2,26,84,20,10,91,58,229,3950,51,85,65,3.6,36,11.3,426,12.8,1,13,82,22,10,10,54674,32188,56579,27120,41225,56374,270771,35781,1531,7010,267,24136,195617,37,264,68,,,
Indiana,Scott,19,4.2,4.7,21,33,8.3,29,52,17,9,42,25,46,7381,42,87,44,3.9,27,10.1,194,11.4,0,10,85,40,14,1,44913,,,,45509,47954,23878,111,78,232,20,586,22699,36,113,73,,,
Indiana,Shelby,18,4,4.3,21,37,8.3,30,54,16,9,32,36,96,6698,52,95,53,3.1,31,11,535,11.8,0,12,87,36,17,4,57193,,81250,57766,60531,59724,44593,545,158,383,63,1951,41098,36,197,73,,,
Indiana,Spencer,17,3.8,4.3,18,35,8.8,28,46,18,8,39,30,25,4037,48,93,59,3.3,20,12.7,0,12.1,0,8,86,42,8,0,56862,45536,,50625,50250,57527,20327,154,54,78,0,601,19261,32,37,81,,,
Indiana,Starke,20,4.4,4.8,23,33,8.1,28,56,17,10,22,13,31,4557,35,93,46,4.3,25,8.7,97,12.3,0,12,83,43,10,3,49972,,,,33824,49524,22935,94,112,53,0,903,21579,36,37,79,,,
Indiana,Steuben,16,3.8,4.3,19,30,8.1,27,61,18,10,32,43,75,3741,48,86,59,2.7,28,13.6,70,12,0,9,81,27,8,8,58295,58125,45972,,48797,56817,34586,234,126,215,19,1279,32391,33,70,77,,,
Indiana,Sullivan,20,4.2,4.5,21,31,8,32,50,17,9,48,24,29,7678,42,82,50,4.7,36,10.1,128,11.5,0,15,88,38,20,2,47554,,,,,,20690,963,71,56,2,371,18966,34,51,73,,,
Indiana,Switzerland,22,4.7,5,24,34,7.8,37,48,16,11,0,9,28,6018,36,95,47,3.9,26,4.7,0,11.3,0,15,82,51,22,2,47713,,,53833,,47108,10717,127,31,42,5,212,10193,37,42,74,,,
Indiana,Tippecanoe,19,4.4,5.2,19,33,7.3,25,79,20,10,70,47,142,4011,54,85,73,3.2,31,10.2,243,10.9,0,18,75,15,8,7,52269,23226,26477,24940,49533,55502,193048,10440,764,16527,107,16412,145607,32,277,54,,,
Indiana,Tipton,17,3.8,4.5,19,35,8.5,18,52,17,8,33,53,53,4990,54,95,57,2.8,25,15.2,132,11.7,0,7,85,33,17,3,60896,,,,,,15128,87,61,85,5,443,14315,33,84,81,,,
Indiana,Union,18,4.1,4.6,20,25,0,31,70,16,9,14,0,0,6065,49,92,45,3.1,33,5.6,0,11.2,0,12,83,32,19,0,50300,,,,,,7037,58,21,34,3,130,6686,34,131,71,,,
Indiana,Vanderburgh,19,4.4,5.1,21,34,7.5,29,88,19,9,85,73,211,5560,55,81,67,3.2,39,14.9,409,12.5,0,14,86,19,11,4,50500,14884,78417,26034,39017,50250,180974,17295,544,2392,350,4950,151194,34,218,64,,,
Indiana,Vermillion,17,4,4.5,19,41,7.8,26,52,17,8,39,32,58,7235,43,94,56,5.5,37,10.3,0,11.4,0,9,84,31,17,5,49287,39643,,,43281,48786,15479,67,59,40,8,201,14936,34,69,73,,,
Indiana,Vigo,20,4.5,5.1,22,35,6.5,29,85,18,9,91,53,157,7540,48,89,62,4.4,42,14.3,233,11.3,0,16,82,18,12,14,48335,48375,64738,27041,40156,44715,107386,7702,417,2171,43,2922,91816,35,253,61,,,
Indiana,Wabash,19,4.2,4.5,20,35,8.1,26,69,16,9,45,42,240,4504,50,87,53,3.5,31,18.4,51,12.3,0,10,86,23,13,5,51487,61125,,,60313,50320,31280,220,228,181,8,817,29513,34,81,73,,,
Indiana,Warren,16,3.9,4.4,19,34,8.7,28,34,18,7,0,12,0,4713,40,96,61,3.2,34,11,0,10.9,0,7,82,37,13,2,60596,,,,,,8263,26,25,49,6,162,7910,34,7,84,,,
Indiana,Warrick,16,3.8,4.2,18,35,8.4,29,86,18,7,160,42,51,5190,57,91,74,2.9,22,10.7,223,12.6,0,11,88,28,14,5,75534,52727,207965,53045,36677,70772,62567,996,175,1669,29,1208,57667,33,66,79,,,
Indiana,Washington,18,4,4.5,21,41,8.1,34,47,16,10,25,18,36,4034,45,90,48,3.5,30,6.8,0,11.5,0,12,84,51,15,4,44534,,,,,,27943,138,65,81,5,381,27038,34,79,76,,,
Indiana,Wayne,20,4.5,5,21,38,7.4,31,72,15,11,65,61,475,5439,47,82,58,3.6,45,13.7,0,11.5,0,14,82,20,17,7,45130,28510,,30292,35474,44980,65936,3200,241,689,65,2066,57984,32,161,68,,,
Indiana,Wells,18,3.9,4.4,19,34,8.4,28,44,16,8,64,32,50,5465,47,97,61,2.8,24,17.2,18,12.4,0,9,88,31,11,4,60010,101094,,29342,46410,57461,28206,192,82,191,12,895,26547,33,47,80,,,
Indiana,White,17,3.7,4.2,18,29,8.6,34,46,17,11,33,29,41,2872,50,86,58,3.1,27,11.6,62,11.7,0,8,80,36,14,4,58380,,,,41583,56477,24133,101,175,134,12,2093,21476,35,114,78,,,
Indiana,Whitley,16,3.8,4.4,19,37,8.6,26,58,17,9,56,41,82,3663,49,91,62,2.9,27,13.6,0,11.9,0,7,88,35,15,2,67758,30000,,,77815,61066,34074,145,147,195,14,749,32470,32,78,83,,,
Iowa,Adair,14,3.2,3.6,16,32,8.7,27,72,20,5,43,57,0,1682,54,96,61,2.4,31,9.9,103,8.7,0,8,79,33,12,1,54282,,,44375,58214,51859,7063,34,18,27,3,157,6772,27,446,77,,,
Iowa,Adams,12,3.1,3.4,16,30,8.7,25,54,20,6,27,82,27,2062,45,98,70,1.9,14,10.9,66,8.7,0,7,77,22,14,1,51577,,,,38250,49479,3645,12,19,27,1,53,3508,27,145,77,,,
Iowa,Allamakee,15,3.2,3.6,16,35,8.5,23,72,19,8,58,29,22,2671,41,91,64,3.1,17,15.1,39,8.9,0,10,77,30,11,2,53359,,,28214,43523,52671,13832,231,100,68,39,962,12451,29,459,78,,,
