State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Household_Income_(AIAN),Household_Income_(Asian),Household_Income_(Black),Household_Income_(Hispanic),Household_Income_(White),Population,Population_Black,Population_AIAN,Population_Asian,Population_NHPI,Population_Hispanic,Population_NHW,%_Insufficient_Sleep,Average_Traffic_Volume_per_Meter_of_Major_Roadways,%_Homeowners,%_Severe_Housing_Cost_Burden,%_Children_in_Poverty,Teen_Birth_Rate
Alabama,Autauga,21,4.7,4.7,18,33,7.2,35,69,15,9,45,32,23,7108,41,90,62,3.6,26,12.1,272,11.7,0,15,87,40,11,12,59338,,,27643,83423,65047,55601,10755,267,681,62,1649,41316,36,88,75,13,19,25
Alabama,Baldwin,18,4.2,4.3,17,31,8,27,74,18,11,73,50,96,4041,44,86,67,3.6,24,10.2,204,10.3,0,14,84,42,11,5,57588,53289,34763,31112,43279,59418,218022,19151,1684,2508,146,10131,181201,33,87,74,12,14,28
Alabama,Barbour,30,5.4,5.2,22,42,5.6,24,53,13,12,32,36,8,6209,37,81,35,5.2,57,7.5,414,11.5,0,15,83,32,18,11,34382,,50417,23013,30417,47031,24881,11951,164,113,46,1064,11356,39,102,61,14,44,41
Alabama,Bibb,19,4.6,4.6,19,38,7.8,34,16,16,10,49,22,22,5961,38,84,44,4,29,8.4,89,11.2,0,10,85,50,15,3,46064,,,34000,42708,50769,22400,4731,98,53,26,588,16708,38,29,75,10,28,42
Alabama,Blount,22,4.9,4.9,19,34,8.4,30,16,14,13,22,19,16,4060,39,93,53,3.5,29,8.4,483,11.7,0,11,86,59,17,3,50412,65385,99219,,35495,49872,57840,846,378,185,70,5536,50255,36,33,79,8,18,34
Alabama,Bullock,31,5.4,4.9,23,37,4.3,25,3,12,11,29,20,20,6632,28,70,35,4.7,75,7.8,311,11.2,0,18,79,46,24,20,29267,,,21875,,63636,10138,7050,85,19,76,807,2151,45,4,76,19,68,48
Alabama,Butler,28,5.4,5.3,22,43,6.6,40,49,12,11,25,30,51,9203,35,82,42,4.8,53,9.1,582,10.6,1,13,84,32,19,3,37365,,96618,26260,8558,49094,19680,8769,74,259,10,297,10087,42,19,70,12,36,38
Alabama,Calhoun,23,4.9,4.8,21,39,6.9,32,48,14,12,64,59,116,6581,38,92,59,4.7,40,14.5,756,11.8,0,14,85,31,18,9,45400,51333,38750,28478,36766,51481,114277,23827,617,1102,126,4469,82308,41,110,69,12,27,34
Alabama,Chambers,24,4.9,4.9,19,40,6.4,30,62,13,12,42,18,6,5622,42,86,48,3.9,47,17.8,529,11.4,0,16,85,32,20,10,39917,,71563,31185,,48000,33615,13300,103,446,15,861,18566,37,20,68,12,31,45
Alabama,Cherokee,21,4.8,4.7,17,35,8.3,31,33,14,11,39,15,19,5521,41,95,52,3.6,24,8.5,330,11.4,0,13,83,46,15,0,42132,,,35096,20995,41483,26032,1104,172,88,8,422,23860,35,26,79,10,25,37
Alabama,Chilton,21,4.8,4.9,20,38,8.1,33,46,15,14,20,29,52,6148,42,88,40,3.6,35,15.2,508,11.2,0,13,84,50,19,1,47547,,64489,30828,36355,47778,44153,4401,250,215,77,3500,35384,35,29,75,12,23,47
Alabama,Choctaw,25,4.9,5,19,41,6.4,36,29,12,11,39,47,0,4968,34,79,58,5.5,48,19.3,128,10.1,1,11,82,44,17,7,39907,,,26250,,50106,12841,5331,24,23,0,134,7241,38,17,80,9,32,30
Alabama,Clarke,25,5.1,5.1,21,34,5.4,35,25,12,12,54,29,71,6299,28,91,38,7.5,37,16.2,475,10.4,0,12,88,35,22,11,40741,,181281,22948,,48177,23920,10603,126,104,5,326,12560,41,66,67,13,32,39
Alabama,Clay,24,5,5,20,41,7.8,33,64,13,14,37,15,15,5249,43,90,35,3.9,30,10.5,309,10.6,1,11,90,37,14,2,39201,13182,,29955,30324,45000,13275,1836,72,32,0,400,10690,39,37,72,8,26,39
Alabama,Cleburne,19,4.5,4.9,18,37,8,31,41,14,13,27,0,40,6416,34,98,45,4.2,25,8.1,103,11,0,13,81,56,13,2,46495,,,18693,17614,41973,14987,430,74,33,11,372,13907,34,41,76,10,23,39
Alabama,Coffee,19,4.4,4.6,17,34,7.5,31,54,15,12,54,35,65,4863,37,93,64,3.9,36,14.7,276,10.9,0,12,87,27,16,6,55122,33688,48509,37154,62763,58598,51909,8922,732,849,206,3935,36261,37,58,65,9,22,26
Alabama,Colbert,21,4.6,4.6,19,31,7.4,37,56,15,10,64,46,35,6414,45,92,55,4.6,36,16.9,400,10.7,0,14,90,28,16,7,49055,80792,103036,30676,31790,51330,54762,8761,363,323,41,1465,42932,37,81,73,12,21,33
Alabama,Conecuh,29,5.4,5.4,21,43,5.6,41,37,12,12,40,16,65,12070,44,80,36,5.2,51,7.2,387,10.3,0,13,89,34,26,13,32613,13672,,29031,,36542,12277,5606,63,26,4,264,6176,42,34,77,9,40,38
Alabama,Coosa,25,5.1,5.1,20,40,6.9,35,6,13,13,0,0,9,4956,39,83,43,4.2,40,10.2,255,11,1,15,84,41,21,10,42423,,,29795,,45639,10715,3265,64,15,18,270,7006,37,24,82,10,30,40
Alabama,Covington,23,4.7,4.9,19,32,7.6,36,50,14,12,51,38,65,9181,39,95,54,4.6,36,12.7,331,10.5,0,13,88,29,15,4,40203,,33250,20903,29688,45148,36986,4602,256,172,4,647,30768,36,42,74,10,30,47
Alabama,Crenshaw,22,4.7,4.9,19,38,6.2,34,22,15,12,14,14,58,7057,36,89,45,4.1,41,10.1,332,10.7,0,10,82,41,18,17,39057,,63021,25313,58839,45254,13824,3210,87,155,6,320,9808,38,58,74,9,31,38
Alabama,Cullman,22,4.7,4.9,18,37,8.2,37,42,15,13,56,49,135,6442,41,91,50,3.3,25,11.7,129,11.6,0,12,88,33,19,3,45796,,,38819,40561,43054,83442,1006,539,561,72,3699,76646,35,51,75,10,20,42
Alabama,Dale,23,5,4.8,20,37,6.7,32,46,15,10,18,35,94,5120,41,90,58,4.2,33,10.6,437,11,0,14,86,25,16,11,45309,52404,67727,29792,43849,52019,48956,10012,392,695,104,3250,33470,41,41,60,13,24,33
Alabama,Dallas,30,5.6,5.6,24,43,4.6,27,60,11,10,74,31,60,7183,34,86,51,6.5,68,12,925,11.1,0,21,86,27,16,12,34035,,170568,24396,80409,53185,38310,26839,111,223,17,426,10413,42,61,60,17,48,39
Alabama,DeKalb,26,5.3,5,21,29,8.2,32,45,12,17,42,28,27,5868,40,93,46,3.8,34,8.5,312,11.3,0,11,86,32,13,2,39491,48264,68096,35101,26456,40935,71385,1034,1449,368,457,10595,57199,36,53,71,10,30,41
Alabama,Elmore,19,4.3,4.7,17,34,7.6,26,52,16,9,26,16,17,6334,39,86,55,3.4,31,10.9,239,11.9,0,11,87,46,16,7,60367,60972,78438,40899,45700,64693,81887,17372,425,581,95,2467,59771,38,57,74,10,16,30
Alabama,Escambia,26,5.2,5.2,22,39,6.6,32,48,13,14,35,38,57,7412,35,88,38,4.6,46,14.4,446,10.2,0,12,92,29,19,7,38418,32075,,22506,,42240,36748,11540,1423,112,23,907,22106,40,36,69,11,33,45
Alabama,Etowah,21,4.9,4.8,20,36,7.1,34,49,14,12,81,52,121,7421,36,90,55,4.1,37,15.8,604,11.5,0,11,85,29,16,9,44903,25625,,29107,27276,48352,102501,15871,624,852,318,4116,79629,41,140,72,9,29,40
Alabama,Fayette,22,4.9,5,18,41,7.9,34,34,14,11,97,30,12,5911,45,92,52,4.1,36,7.9,0,10.6,1,12,86,41,23,1,39254,,,30353,,39471,16433,1948,77,72,0,297,13829,39,34,78,10,37,40
Alabama,Franklin,25,5.2,5.2,19,34,7.9,38,58,13,15,44,26,10,8122,38,92,41,3.7,42,9.5,264,10.5,0,13,83,38,15,4,39388,,,39519,34941,40878,31363,1218,485,107,78,5567,23891,38,41,71,8,30,47
Alabama,Geneva,23,5,5,20,39,7.8,37,20,14,14,30,8,19,6845,46,90,43,3.9,41,8.7,414,10.6,0,10,84,41,17,1,37823,35682,,25867,37396,40057,26314,2451,270,90,19,1064,22020,37,45,71,12,30,46
Alabama,Greene,34,5.9,5.5,25,36,3.2,18,6,10,11,48,12,12,7121,30,78,50,6.7,77,9.6,669,10.5,0,19,82,42,15,21,28524,,,17617,,53608,8233,6554,27,22,0,137,1443,45,35,69,19,44,45
Alabama,Hale,28,5.4,5.3,22,40,6.1,28,30,11,11,20,14,14,6986,33,91,47,5.1,59,6.1,209,10.8,0,17,88,50,18,5,34724,,,23618,,53008,14726,8512,37,42,2,200,5850,42,43,71,14,36,37
Alabama,Henry,21,4.7,4.8,18,36,7.9,35,25,14,12,29,29,12,4872,42,98,53,4.4,25,14,197,10.9,0,11,87,37,17,2,46027,,,32035,52721,53848,17209,4445,85,64,4,460,11929,38,29,83,9,27,30
Alabama,Houston,20,4.7,4.8,19,38,7.1,31,67,14,11,84,67,144,4859,45,91,59,4,42,12,488,10.7,0,13,88,26,14,6,47993,39402,50417,28002,38819,54264,104722,28191,566,1110,99,3601,69450,37,140,66,12,22,35
Alabama,Jackson,23,5,5.1,20,39,7.9,29,47,13,13,54,35,46,5903,42,90,45,4.1,31,9.1,317,11,0,11,86,37,17,3,41929,,29018,29000,,40172,51736,1766,870,303,57,1528,46080,38,30,74,10,27,39
Alabama,Jefferson,20,4.4,4.7,18,35,6.3,30,79,15,10,108,88,177,4653,44,89,68,3.7,43,14.4,873,13.4,0,17,84,33,13,12,55013,47560,74185,36475,42726,68571,659300,284330,1892,11676,376,26246,327671,36,419,63,15,23,30
Alabama,Lamar,24,5.2,5.1,20,36,7.8,37,10,13,12,0,22,14,5184,40,94,53,3.8,21,7.9,162,10.3,0,11,88,45,19,1,40936,,,19359,,40542,13844,1439,40,14,2,234,11902,38,29,76,7,25,42
Alabama,Lauderdale,20,4.7,4.8,17,33,7.6,29,65,14,11,51,55,155,5323,49,94,59,4.2,33,14.8,269,11,0,13,88,29,14,5,48707,,,29756,31471,48392,92387,9140,417,708,52,2644,78164,35,108,68,11,18,23
Alabama,Lawrence,22,4.9,5,20,33,8,36,49,14,14,15,9,124,7507,40,88,48,4.2,30,13.6,260,11.3,0,11,87,46,19,2,43909,60882,,30732,45720,45020,32957,3570,1913,77,7,734,25174,39,30,79,9,31,38
Alabama,Lee,21,4.5,4.6,18,30,6.4,21,68,16,10,53,30,86,4208,42,91,73,3.6,36,8,416,12.1,1,19,84,28,9,12,48937,,53103,30862,44138,56733,163941,37341,611,6876,148,6164,110621,37,120,60,17,19,17
Alabama,Limestone,20,4.5,4.8,18,34,8.1,29,61,15,11,34,27,48,5987,46,92,59,3.5,26,9.1,160,11.8,0,11,88,41,14,4,64863,89143,97880,45192,34747,59454,96174,12977,795,1535,185,5910,73202,37,49,78,10,16,24
Alabama,Lowndes,30,5.5,5.2,23,47,4.6,34,5,10,11,10,0,0,5247,32,91,35,7.3,68,6,671,10.9,0,19,86,62,14,13,33973,,,23493,,62875,9974,7175,37,44,4,173,2507,43,11,74,17,40,36
Alabama,Macon,30,5.4,5.3,21,50,4,32,31,11,11,37,27,407,5948,33,80,56,5.5,60,6.9,734,11.7,1,20,84,37,23,22,32495,,,29201,,44388,18439,14760,49,112,3,337,2976,46,15,66,18,40,22
Alabama,Madison,19,4.4,4.7,17,33,7.5,22,69,16,9,88,54,144,5439,45,93,73,3.5,30,10.8,611,11.6,0,12,88,26,14,7,63755,70673,77300,39512,41331,74056,366519,89566,2968,9815,422,18578,236756,36,199,67,11,17,20
Alabama,Marengo,26,5.3,5.2,21,42,5.5,32,43,12,10,36,26,37,4803,33,91,51,5,44,17,449,10.6,0,18,89,33,18,13,37733,,,22865,91161,55027,19066,9738,46,58,35,492,8555,39,81,71,15,35,28
Alabama,Marion,22,4.9,4.9,19,37,7.9,31,47,14,11,34,17,10,8236,39,90,56,4.1,26,10.4,296,10.5,1,11,86,30,20,3,37887,36250,,31406,44458,35952,29763,1126,126,97,19,766,27330,38,56,75,10,27,41
Alabama,Marshall,22,5,5.1,21,34,8,36,54,14,16,55,35,243,6189,43,92,52,3.4,34,10.3,286,11.8,0,14,85,31,12,5,46233,38665,132857,40220,30431,44560,96109,2310,1078,705,261,13768,77307,36,65,70,12,28,46
Alabama,Mobile,22,4.5,5.2,19,36,6.4,31,70,15,12,67,51,92,6431,41,84,60,4.7,44,11.7,548,10.8,1,17,86,37,14,10,43598,48077,53950,30098,42843,58079,413757,147900,3885,8548,179,12648,234690,37,253,65,15,31,36
Alabama,Monroe,30,5.7,5.3,23,42,5,34,52,11,13,38,24,85,5990,37,88,41,6.2,56,12.7,492,10.4,0,11,92,32,18,13,39556,57987,,16778,15156,46593,21067,8630,283,99,9,340,11367,38,32,61,13,32,37
Alabama,Montgomery,24,5,4.7,20,38,5.5,29,74,14,11,98,74,144,6020,38,82,62,4,52,15,532,11.9,0,18,85,21,14,15,49640,51797,69951,36806,39387,68120,225763,132174,760,7203,215,7937,75153,37,359,59,17,31,37
Alabama,Morgan,21,4.6,4.7,19,32,7.9,27,59,14,12,49,52,144,6098,44,90,56,3.5,31,12.5,181,11.6,0,13,89,35,13,4,52797,108362,55978,30435,38168,53372,119089,15076,1311,836,182,10067,89716,38,123,72,10,20,37
Alabama,Perry,35,6.4,5.9,26,43,4.9,35,53,10,11,32,22,33,5342,23,93,55,6.5,76,10.7,381,10.7,0,18,84,38,16,5,26814,,,20262,,24545,9140,6172,24,55,4,132,2701,44,24,73,18,53,23
Alabama,Pickens,27,5.2,5,21,35,7.1,26,6,12,12,40,15,15,6592,46,98,53,4.6,43,9.9,166,10.5,0,14,82,53,15,1,37586,,,22405,,55632,19938,7940,48,67,67,948,10740,40,32,74,11,31,35
Alabama,Pike,25,5.1,5.1,21,36,6.2,28,51,15,13,48,27,48,5568,38,87,60,4.5,46,10.5,564,11,0,16,84,26,12,6,37259,55875,50511,21162,,48480,33338,12440,236,710,30,802,18600,39,67,59,16,31,18
Alabama,Randolph,21,4.8,4.9,19,37,7.2,34,41,14,13,31,13,26,3494,33,92,50,4,39,9.3,196,11,0,15,85,40,17,7,40546,,,31885,,45261,22725,4400,107,89,26,661,17120,36,36,73,11,31,41
Alabama,Russell,25,5,5,22,45,6.6,32,64,13,11,26,26,42,5042,40,88,61,4,46,10,505,12.1,0,17,87,38,19,6,39104,25945,,35088,42481,44474,57781,25861,359,507,162,3245,26570,41,222,60,16,32,39
Alabama,St. Clair,19,4.5,4.6,18,37,8.4,31,42,15,10,17,29,20,6284,39,88,55,3.5,26,8.6,299,12,0,11,87,54,14,2,57284,,62500,43634,51319,56223,88690,8271,319,790,67,2224,75920,37,49,79,10,15,32
Alabama,Shelby,16,4,4.1,16,35,8.6,25,84,17,8,81,51,80,5125,44,94,76,2.9,19,11.1,264,12,0,11,86,47,11,4,75663,106350,89911,61900,48652,78109,215707,27807,851,4871,125,12465,167240,37,113,80,9,9,14
Alabama,Sumter,34,5.9,5.4,22,43,4.6,38,36,11,11,55,16,16,5643,28,77,57,5.9,59,9.5,435,10.4,0,23,85,43,21,10,27859,,,19530,,61389,12691,9063,17,256,4,146,3116,43,13,65,18,48,24
Alabama,Talladega,23,4.8,5,23,39,7,35,48,14,10,31,29,19,5467,34,93,52,4.3,46,12.4,469,11.5,0,13,85,34,16,6,41630,13552,,28110,,49074,79828,25998,326,525,22,1883,49890,42,69,71,12,26,34
Alabama,Tallapoosa,23,4.8,5,18,36,7.2,30,69,13,12,49,27,30,4305,43,90,50,4.2,44,14,639,11.4,0,17,87,36,16,4,42205,,50880,23161,,52985,40497,10845,173,251,24,952,27854,41,44,73,13,31,43
Alabama,Tuscaloosa,20,4.5,5,18,35,7.1,30,76,16,9,72,48,132,5853,44,89,64,3.7,38,11.1,402,11.3,0,17,86,25,12,6,52557,44318,46103,36006,38601,63524,208911,66527,699,3394,138,8115,127896,38,230,63,15,21,21
Alabama,Walker,24,5.2,5.4,23,40,7.5,36,44,14,12,41,47,46,6561,40,90,53,4.2,32,14.7,450,11.6,0,12,85,40,14,5,45434,36366,51667,23750,33372,43859,63711,3863,355,386,69,1634,56654,39,28,76,10,25,46
Alabama,Washington,23,5,5,21,33,7.2,34,18,14,14,18,12,24,5311,28,93,50,5.8,40,15.1,243,10.1,0,10,84,53,17,4,44424,34691,,27972,,45506,16378,3821,1287,148,18,259,10665,39,15,84,8,26,32
Alabama,Wilcox,29,5.5,5.2,22,48,2.5,37,6,11,11,37,9,9,4464,23,83,39,9.6,61,6.5,645,10.4,0,13,88,37,20,30,25385,,,23522,,43304,10627,7517,24,25,2,150,2832,43,16,65,11,51,40
Alabama,Winston,21,4.8,5,20,38,8,32,76,14,13,42,17,8,13447,40,93,53,4.2,32,9.3,107,11,1,10,82,43,20,3,41156,21713,,,,39661,23660,188,206,87,48,756,22168,36,19,79,9,28,43
Alaska,Aleutians East,17,3.4,2.8,17,51,5.3,30,100,17,28,0,28,85,0,0,89,49,3,51,0,0,0,1,13,26,0,13,35,70081,58750,66635,,54750,87679,3515,366,692,1524,42,517,302,36,0,62,10,13,
Alaska,Aleutians West,15,3,2.5,15,44,7.6,30,100,19,20,35,105,122,0,0,91,53,3.5,33,0,295,0,1,19,48,1,10,9,82633,55694,83661,55833,86250,107250,5723,371,674,2359,135,791,1328,34,0,28,9,8,
Alaska,Anchorage,15,3.5,3.2,15,32,8,18,100,21,13,110,125,413,2794,38,81,71,5.5,30,11.3,1007,0,1,16,76,14,8,5,82113,61242,68289,56477,66442,95107,291538,15883,25865,29418,7827,27107,167099,30,463,61,13,12,
Alaska,Bethel,24,5.4,4.6,30,31,2.9,31,100,22,20,100,143,2212,2625,10,62,36,12.8,36,3.9,0,0,1,60,23,1,6,42,44304,44715,117212,118472,78214,114286,18216,166,15263,174,43,442,1757,35,5,61,10,41,
Alaska,Bristol Bay,15,3.7,3.6,18,42,6.9,29,100,21,17,0,114,0,1567,32,85,61,6.3,36,0,0,0,0,15,59,3,15,18,77257,57813,,,,98333,877,7,286,12,3,66,381,31,0,53,4,15,
Alaska,Denali,13,3.4,3.3,18,25,6,18,100,23,14,0,0,0,0,0,65,72,7.8,15,0,0,0,0,26,34,26,5,23,75477,69375,,,,83056,2059,44,109,110,1,66,1647,30,5,78,5,7,
Alaska,Dillingham,23,4.8,4.5,27,36,4.8,24,100,22,17,264,140,720,5919,26,67,49,8.2,40,0,0,0,0,38,36,5,10,32,54524,47198,,70938,73942,103047,5000,36,3617,45,12,188,761,35,0,60,10,32,
Alaska,Fairbanks North Star,12,3,3.2,16,30,7.7,18,100,23,13,78,136,550,2113,35,74,72,5.8,28,9.7,0,0,0,24,75,16,6,7,74268,51843,57877,61970,66346,81481,98971,4850,7830,3455,540,8281,68542,30,108,59,14,9,
Alaska,Haines,13,3.5,3.3,16,27,7.6,21,100,21,18,277,81,243,695,27,78,71,9.5,22,0,156,0,0,25,64,2,7,7,58943,21250,,,,73189,2474,15,259,26,0,80,1915,30,9,67,3,16,
Alaska,Hoonah-Angoon,17,4.1,3.8,20,32,4.3,19,0,18,23,0,0,279,0,0,91,50,12.6,52,0,0,0,0,20,36,3,14,39,51188,43333,,,71250,79896,2151,41,811,32,1,137,986,31,0,74,5,28,
Alaska,Juneau,11,3,3.1,17,27,8.2,16,100,24,13,128,100,666,2863,43,83,76,4.4,22,15.6,714,0,0,13,67,7,7,6,79173,57981,85357,,51534,93514,32113,390,3809,2257,417,2182,20637,31,95,64,9,9,
Alaska,Kenai Peninsula,15,3.8,3.5,17,33,7.6,23,100,21,16,78,72,220,0,0,85,58,7.7,24,14.8,0,0,1,18,69,15,8,6,65439,38935,141029,81563,49297,69102,58533,384,4659,1042,186,2491,46873,30,43,73,12,15,
Alaska,Ketchikan Gateway,14,3.4,3.2,17,38,8.1,19,100,20,17,101,79,273,2937,38,84,60,6,36,13.7,358,0,1,17,65,8,9,2,68309,37826,65917,50000,61042,77806,13918,132,1951,1171,49,804,8793,32,0,61,14,13,
Alaska,Kodiak Island,13,3.2,3,15,34,8.1,25,100,22,18,126,75,322,2886,42,86,64,5.8,27,14.1,0,0,1,22,65,3,8,5,74109,51169,71667,,92740,88482,13345,137,1710,2968,128,1179,6554,29,0,55,14,10,
Alaska,Kusilvak,37,7.1,5.8,41,23,1.9,28,0,17,18,0,0,120,2177,20,62,24,19.9,51,3.7,0,0,1,71,5,0,5,42,32728,34406,,,,104167,8303,34,7658,41,1,214,292,38,0,74,10,47,
Alaska,Lake and Peninsula,22,4.8,4.2,28,38,3.5,22,100,21,25,0,0,126,0,0,0,52,11.6,48,0,0,0,1,30,23,0,10,44,49403,36771,,,,81250,1587,16,976,50,5,56,354,34,0,69,5,24,
Alaska,Matanuska-Susitna,13,3.7,3.3,18,34,7.6,22,100,21,15,45,49,145,2854,32,83,59,7.6,22,8,0,0,1,20,74,42,9,8,74649,59620,62750,61186,81571,76832,107610,1233,7385,1884,426,5446,84961,35,49,77,14,12,
Alaska,Nome,25,5.4,4.5,32,40,3.5,25,100,22,21,91,90,849,8308,4,75,37,11.6,46,6,0,0,1,52,25,0,7,38,55318,44447,,,,99333,10008,77,7554,152,16,251,1494,36,11,60,13,27,
Alaska,North Slope,16,3.8,3.4,24,40,6.9,35,100,22,18,31,71,71,0,0,68,49,7,45,3.1,809,0,0,43,21,2,8,13,89276,59554,116875,99671,93125,116500,9872,144,5210,599,174,424,3060,34,10,50,10,15,
Alaska,Northwest Arctic,24,5.3,4.5,31,42,3.4,27,100,21,24,52,26,1004,0,0,76,32,14.2,48,6.5,0,0,1,51,18,0,11,34,59337,48971,127917,,,119868,7671,82,6082,63,18,290,835,35,0,56,9,28,
Alaska,Petersburg,12,3.2,3.1,15,25,8.3,18,0,21,19,183,93,404,0,0,90,63,8.7,34,9.1,411,0,0,19,49,4,8,1,66075,33068,43558,23750,66667,73661,3221,69,354,105,26,194,2294,28,38,68,12,10,
Alaska,Prince of Wales-Hyder,18,4.3,3.9,22,45,6.3,23,0,20,23,78,47,125,0,0,77,52,10.9,38,15.5,0,0,0,17,50,12,14,15,49356,44519,67917,,90000,62083,6422,33,2759,62,30,237,2921,33,0,73,7,23,
Alaska,Sitka,13,3.4,3.3,16,27,8.1,18,100,21,18,196,127,1781,2940,31,87,65,4.2,39,15,101,0,1,17,60,1,8,4,71825,45250,101250,,56667,77949,8647,81,1412,702,36,604,5282,30,0,58,13,9,
Alaska,Skagway,12,3,3.1,16,33,8,19,0,23,14,0,0,87,2297,24,0,73,9.8,29,0,372,0,0,10,39,2,6,0,74635,38750,52188,,49688,77083,1148,8,59,29,4,63,934,28,60,52,4,9,
Alaska,Southeast Fairbanks,15,3.4,3.4,20,33,6.1,19,100,20,21,102,72,145,1811,21,77,53,9.6,21,5.8,0,0,0,24,64,11,10,19,63527,27353,,33750,70982,80625,6918,113,869,163,32,441,5042,28,5,74,6,18,
Alaska,Valdez-Cordova,12,3.1,3.2,17,35,7.2,19,100,25,15,97,44,207,0,0,67,53,7.4,18,16.2,316,0,1,20,64,4,11,15,68528,38102,,,66250,86941,9164,82,1303,437,52,486,6333,30,9,73,8,12,
Alaska,Wrangell,15,3.7,3.5,17,43,7.5,30,0,18,19,119,80,320,0,0,90,63,7,38,0,0,0,1,13,59,0,14,7,57832,24554,115833,,26595,61310,2503,12,414,83,2,75,1675,29,0,68,6,16,
Alaska,Yakutat,16,3.8,3.6,20,32,5.9,23,100,20,19,0,0,331,0,0,0,62,8.2,35,0,0,0,0,18,48,0,8,25,59523,48125,,,72500,78750,604,12,239,41,8,28,197,33,0,63,5,15,
Alaska,Yukon-Koyukuk,23,5.2,4.4,30,31,1.9,24,100,22,24,19,38,94,2003,31,67,47,15.3,54,0,0,0,1,51,25,6,9,50,38912,32885,73125,,,64722,5327,43,3707,21,7,148,1162,35,2,72,9,31,
Arizona,Apache,26,5.6,5.3,22,34,2,27,19,13,19,32,65,89,5244,38,73,49,10.1,51,3.5,109,5.7,1,32,77,39,17,47,33652,24045,39524,50737,40347,56618,71818,363,53827,323,30,4590,13017,35,14,78,7,47,
Arizona,Cochise,18,4.2,4.3,15,30,6.8,25,60,15,10,55,55,121,3324,33,88,65,5.6,36,8.4,333,7.5,1,16,79,22,11,14,49164,47917,49635,67946,39595,52293,126770,5003,2225,2875,535,45173,69543,31,37,69,12,23,
Arizona,Coconino,16,4.2,4.2,16,24,6.1,17,83,17,13,85,76,207,2370,39,82,70,5.5,37,9.4,357,5.6,1,25,69,16,8,14,60187,42098,40530,24479,52842,64741,142854,1787,39414,2941,264,20389,77128,31,106,61,17,17,
Arizona,Gila,19,4.5,4.5,18,31,6.2,27,92,16,13,47,56,65,3501,38,75,50,5.9,44,9.7,574,5.8,0,16,80,18,15,16,43585,34737,47635,12760,41637,43370,53889,342,9615,509,82,10098,33402,32,120,74,12,34,
Arizona,Graham,19,4.4,4.2,18,35,6.3,23,56,17,10,59,66,42,2766,38,86,55,5.1,35,4.8,109,6,0,17,80,16,10,19,50157,32317,91250,,46651,56013,38072,556,5191,263,81,12617,19416,29,13,69,10,24,
Arizona,Greenlee,18,3.7,3.8,14,29,5.8,22,46,18,9,53,21,11,2571,29,90,56,4.3,34,5.3,41,5.7,0,12,88,12,12,31,65818,95781,,75625,49571,64877,9483,161,389,90,11,4485,4339,34,4,49,4,12,
Arizona,La Paz,22,4.5,4.5,16,30,6.2,40,39,13,20,29,43,81,4251,27,84,41,6.2,54,4.4,264,5.7,1,14,73,13,14,19,37350,34938,,78472,41667,31499,21098,189,3837,205,29,5925,11957,32,112,74,10,32,
Arizona,Maricopa,16,3.6,3.8,14,27,7.7,20,92,18,12,70,67,135,3050,47,78,65,4.1,34,5.3,409,10.6,1,18,76,38,9,4,65234,45984,81021,45167,48096,68702,4410824,241102,123814,202798,12814,1379637,2421633,34,885,61,14,18,
Arizona,Mohave,19,4.4,4.8,19,32,5.8,32,59,16,13,49,40,71,4000,38,78,48,5.8,43,5.6,221,5.1,1,17,80,18,14,20,45129,45000,55795,27904,45183,43045,209550,2245,6331,2599,527,35269,161177,33,64,69,13,27,
Arizona,Navajo,24,5,5.2,21,34,4.6,29,56,14,15,62,64,79,3413,39,78,52,7.8,43,6.8,281,5.7,1,25,73,24,15,25,40650,25814,41042,48309,36738,50676,110445,886,50383,757,127,12649,46051,35,65,69,12,40,
Arizona,Pima,17,3.9,4,15,25,7.5,20,88,17,11,84,63,183,2929,47,73,67,4.5,40,6.3,470,7.9,1,20,77,35,8,8,53395,32331,51116,41978,42035,57619,1039073,35216,44984,35302,2438,390183,534410,31,1865,62,16,22,
Arizona,Pinal,20,4.2,4.2,16,33,7.6,29,66,16,11,16,31,71,3118,42,81,53,5,33,3.4,221,11.7,1,15,78,52,13,7,58848,26804,70177,61717,49733,58481,447138,20219,29746,8570,1906,136046,252935,35,64,74,12,18,
Arizona,Santa Cruz,27,4.5,4.4,15,27,7.8,20,67,14,14,50,26,34,2337,34,90,53,9.3,41,4.1,140,7.6,1,23,85,25,8,13,40545,,34925,,36005,51972,46511,184,655,355,68,38811,6911,31,168,66,16,36,
